,Id,Comment
0,76561198057826708,Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes?PS: Is it just me or was the name Mazzie mentioned in the trailer? Could this be Mazzie Dark Willow was mentioning in her Voice Lines?
1,76561198315439860,Originally posted by One Pun Crow:Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes? Its still one for now. And from the trailer it could be pretty strong too.
2,76561198057826708,Originally posted by Dante:Originally posted by One Pun Crow:Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes? Its still one for now. And from the trailer it could be pretty strong too. true!!Looks like she had like 7 abilities or something. Both unmounted and Mounted
3,76561198086802771,fall is september and its not far away
4,76561198057826708,Originally posted by BruTuS:fall is september and its not far away i remember Mars being released way off when they announced him. Wasnt he supposed to be fall? I might be very wrong here
6,76561198086802771,Originally posted by One Pun Crow:Originally posted by BruTuS:fall is september and its not far away i remember Mars being released way off when they announced him. Wasnt he supposed to be fall? I might be very wrong here no they announced it to be between february and march 
7,76561198086802771,"Originally posted by Woody:Originally posted by BruTuS:fall is september and its not far away It's Sep 23rd to Dec 21st so it could be a while yet. they released willow and pango 31 octomber, 2 months is nothing compared to march xD"
8,76561198315439860,Originally posted by One Pun Crow:Originally posted by Dante:Its still one for now. And from the trailer it could be pretty strong too. true!!Looks like she had like 7 abilities or something. Both unmounted and Mounted I believe he will have mount the dragon. And 4 skill most likely. With 3 normal and 1 ultimate. We’ll have to wait and see i guess.
11,76561198811286778,hehe... finally a old woman hero... i been said this game lack a old woman and a fat woman...
12,76561198057826708,"Originally posted by Woody:Fun fact, first mounted hero since Aba in 2013 So true actually! I didnt even think of that!"
14,76561198872287416,ok sniper on a dragon .
15,76561198057826708,Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes?PS: Is it just me or was the name Mazzie mentioned in the trailer? Could this be Mazzie Dark Willow was mentioning in her Voice Lines?
16,76561198315439860,Originally posted by One Pun Crow:Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes? Its still one for now. And from the trailer it could be pretty strong too.
17,76561198057826708,Originally posted by Dante:Originally posted by One Pun Crow:Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes? Its still one for now. And from the trailer it could be pretty strong too. true!!Looks like she had like 7 abilities or something. Both unmounted and Mounted
18,76561198086802771,fall is september and its not far away
19,76561198057826708,Originally posted by BruTuS:fall is september and its not far away i remember Mars being released way off when they announced him. Wasnt he supposed to be fall? I might be very wrong here
21,76561198086802771,Originally posted by One Pun Crow:Originally posted by BruTuS:fall is september and its not far away i remember Mars being released way off when they announced him. Wasnt he supposed to be fall? I might be very wrong here no they announced it to be between february and march 
22,76561198086802771,"Originally posted by Woody:Originally posted by BruTuS:fall is september and its not far away It's Sep 23rd to Dec 21st so it could be a while yet. they released willow and pango 31 octomber, 2 months is nothing compared to march xD"
23,76561198315439860,Originally posted by One Pun Crow:Originally posted by Dante:Its still one for now. And from the trailer it could be pretty strong too. true!!Looks like she had like 7 abilities or something. Both unmounted and Mounted I believe he will have mount the dragon. And 4 skill most likely. With 3 normal and 1 ultimate. We’ll have to wait and see i guess.
26,76561198811286778,hehe... finally a old woman hero... i been said this game lack a old woman and a fat woman...
27,76561198057826708,"Originally posted by Woody:Fun fact, first mounted hero since Aba in 2013 So true actually! I didnt even think of that!"
29,76561198872287416,ok sniper on a dragon .
30,76561198057826708,Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes?PS: Is it just me or was the name Mazzie mentioned in the trailer? Could this be Mazzie Dark Willow was mentioning in her Voice Lines?
31,76561198315439860,Originally posted by One Pun Crow:Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes? Its still one for now. And from the trailer it could be pretty strong too.
32,76561198057826708,Originally posted by Dante:Originally posted by One Pun Crow:Was amazing! Fall is far off tho! But i loved it! Do you guys think we will be getting another one??Since they usually give us 2 heroes? Its still one for now. And from the trailer it could be pretty strong too. true!!Looks like she had like 7 abilities or something. Both unmounted and Mounted
33,76561198086802771,fall is september and its not far away
34,76561198057826708,Originally posted by BruTuS:fall is september and its not far away i remember Mars being released way off when they announced him. Wasnt he supposed to be fall? I might be very wrong here
36,76561198086802771,Originally posted by One Pun Crow:Originally posted by BruTuS:fall is september and its not far away i remember Mars being released way off when they announced him. Wasnt he supposed to be fall? I might be very wrong here no they announced it to be between february and march 
37,76561198086802771,"Originally posted by Woody:Originally posted by BruTuS:fall is september and its not far away It's Sep 23rd to Dec 21st so it could be a while yet. they released willow and pango 31 octomber, 2 months is nothing compared to march xD"
