,account_id,player_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level
0,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
1,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
2,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
3,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
4,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
5,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
6,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
7,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
8,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
9,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
10,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
11,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
12,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
13,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
14,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
15,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
16,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
17,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
18,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
19,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
20,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
21,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
22,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
23,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
24,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
25,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
26,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
27,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
28,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
29,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
30,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
31,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
32,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
33,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
34,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
35,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
36,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
37,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
38,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
39,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
40,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
41,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
42,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
43,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
44,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
45,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
46,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
47,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
48,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
49,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
50,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
51,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
52,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
53,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
54,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
55,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
56,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
57,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
58,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
59,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
60,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
61,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
62,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
63,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
64,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
65,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
66,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
67,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
68,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
69,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
70,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
71,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
72,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
73,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
74,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
75,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
76,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
77,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
78,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
79,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
80,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
81,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
82,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
83,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
84,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
85,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
86,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
87,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
88,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
89,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
90,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
91,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
92,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
93,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
94,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
95,4294967295,0,63,63,141,135,123,139,0,0,0,0,0,24,7,9,0,220,7,623,673,25
96,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
97,4294967295,0,67,174,212,125,63,170,0,0,0,0,0,6,5,8,0,31,0,304,369,16
98,16161282,0,50,44,214,0,16,16,16,0,0,0,0,1,8,0,0,15,7,117,172,9
